year,week,reporting_rate_pct,sites_reporting,sites_total,age_this_week,age_prev_week,age_change,age_last_year,sari_this_week,sari_prev_week,sari_change,sari_last_year,cholera_this_week,cholera_prev_week,cholera_change,cholera_last_year,dengue_this_week,dengue_prev_week,dengue_change,dengue_last_year,kalaazar_this_week,kalaazar_prev_week,kalaazar_change,kalaazar_last_year,malaria_this_week,malaria_prev_week,malaria_change,malaria_last_year,age_top_districts
2021,1,,,,78,84,,226,102,86,,247,,,,,,,,,,,,,,,,,[]
2021,2,,,,102,91,,248,85,110,,264,,,,,,,,,,,,,,,,,[]
2021,3,,,,132,112,,203,144,98,,289,,,,,,,,,,,,,,,,,[]
2021,4,,,,111,138,,246,89,146,,277,,,,,,,,,,,,,,,,,[]
2021,5,,,,99,120,,293,102,92,,255,,,,,,,,,,,,,,,,,[]
2021,6,,,,147,113,,315,130,114,,322,,,,,,,,,,,,,,,,,[]
2021,7,,,,133,154,,343,117,132,,302,,,,,,,,,,,,,,,,,[]
2021,8,,,,201,151,,377,143,139,,333,,,,,,,,,,,,,,,,,[]
2021,9,,,,193,213,,379,146,157,,379,,,,,,,,,,,,,,,,,[]
2021,10,,,,235,223,,434,180,167,,374,,,,,,,,,,,,,,,,,[]
2021,11,,,,285,,,392,175,189,,375,,,,,,,,,,,,,,,,,[]
2021,12,,,,292,328,,388,226,217,,410,,,,,,,,,,,,,,,,,[]
2021,13,,,,343,336,,214,214,255,,331,,,,,,,,,,,,,,,,,[]
2021,14,,,,349,380,,144,219,218,,221,,,,,,,,,,,,,,,,,[]
2021,15,,,,284,385,,127,207,237,,144,,,,,,,,,,,,,,,,,[]
2021,16,,,,238,346,,170,180,234,,175,,,,,,,,,,,,,,,,,[]
2021,17,,,,230,,,161,177,181,,115,,,,,,,,,,,,,,,,,[]
2021,18,,,,79,232,,145,129,178,,118,,,,,,,,,,,,,,,,,[]
2021,19,,,,28,84,,126,76,130,,119,,,,,,,,,,,,,,,,,[]
2021,20,,,,25,29,,156,70,70,,121,,,,,,,,,,,,,,,,,[]
2021,21,,,,33,29,,137,93,82,,114,,,,,,,,,,,,,,,,,[]
2021,22,,,,34,43,,138,67,97,,89,,,,,,,,,,,,,,,,,[]
2021,23,,,,74,61,,102,37,71,,79,,,,,,,,,,,,,,,,,[]
2021,24,,,,53,79,,106,54,39,,72,,,,,,,,,,,,,,,,,[]
2021,25,,,,79,74,,137,68,54,,78,,,,,,,,,,,,,,,,,[]
2021,26,,,,88,87,,140,47,72,,57,,,,,,,,,,,,,,,,,[]
2021,27,,,,86,98,,121,72,47,,71,,,,,11,7,,,,,,,,,,,[]
2021,28,,,,88,88,,141,81,72,,76,,,,,,,,,,,,,,,,,[]
2021,29,,,,96,109,,130,127,85,,82,,,,,,,,,,,,,,,,,[]
2021,30,,,,70,100,,141,98,129,,69,,,,,15,7,,16,,,,,,,,,[]
2021,31,,,,81,95,,143,136,108,,63,,,,,12,15,,21,,,,,,,,,[]
2021,32,,,,62,86,,132,124,138,,110,,,,,,,,,,,,,,,,,[]
2021,33,,,,76,67,,94,150,129,,82,,,,,,,,,,,,,,,,,[]
2021,34,,,,55,79,,78,160,162,,70,,,,,,,,,,,,,,,,,[]
2021,35,,,,82,58,,78,185,182,,81,0,0,50,100,10,10,,29,,,,,,,,,[]
2021,36,,,,80,92,,79,268,205,,87,,,,,19,13,,25,,,,,,,,,[]
2021,37,,,,74,81,,89,250,274,,52,,,,,16,16,,29,,,,,,,,,[]
2021,38,,,,77,78,,72,352,297,,73,,,,,24,20,,29,,,,,,,,,[]
2021,39,,,,92,101,,78,332,367,,69,,,,,12,24,,12,,,,,,,,,[]
2021,40,,,,132,97,,94,245,337,,78,,,,,,,,,,,,,,,,,[]
2021,41,,,,78,135,,87,199,283,,75,,,,,19,15,,24,,,,,,,,,[]
2021,42,,,,78,88,,75,220,239,,71,,,,,21,27,,26,,,,,,,,,[]
2021,43,,,,89,87,,68,179,220,,77,,,,,18,25,,21,,,,,,,,,[]
2021,44,,,,51,97,,74,138,184,,55,,,,,20,25,,19,,,,,,,,,[]
2021,45,,,,55,59,,85,98,155,,70,,,,,18,25,,16,,,,,,,,,[]
2021,46,,,,69,69,,71,102,103,,66,0,0,20,40,15,18,,21,,,,,,,,,[]
2021,47,,,,64,72,,81,109,109,,57,15,0,,,,,,,,,,,,,,,[]
2021,48,,,,76,70,,85,116,113,,69,,,,,,,,,,,,,,,,,[]
2021,49,,,,86,103,,85,145,144,,78,,,,,,,,,,,,,,,,,[]
2021,50,,,,85,89,,85,150,149,,80,,,,,,,,,,,,,,,,,[]
2021,51,,,,82,88,,110,174,156,,87,,,,,,,,,,,,,,,,,[]
2021,52,,,,138,89,,97,175,180,,99,,,,,,,,,,,,,,,,,[]
2022,1,,,,114,154,,119,170,180,,110,,,,,,,,,,,,,,,,,[]
2022,2,,,,76,114,,134,166,171,,113,,,,,,,,,,,,,,,,,[]
2022,3,,,,76,78,,167,143,169,,165,,,,,,,,,,,,,,,,,[]
2022,4,,,,60,85,,143,146,165,,109,,,,,,,,,,,,,,,,,[]
2022,5,,,,60,70,,135,95,162,,126,,,,,,,,,,,,,,,,,[]
2022,6,,,,45,63,,193,89,111,,137,,,,,,,,,,,,,,,,,[]
2022,7,,,,76,53,,187,108,103,,146,,,,,,,,,,,,,,,,,[]
2022,8,,,,120,84,,239,101,113,,160,,,,,,,,,,,,,,,,,[]
2022,9,,,,114,131,,237,112,119,,173,,,,,,,,,,,,,,,,,[]
2022,10,,,,185,124,,282,151,115,,197,,,,,,,,,,,,,,,,,[]
2022,11,,,,194,209,,363,144,153,,240,,,,,,,,,,,,,,,,,[]
2022,12,,,,230,210,,368,163,147,,262,,,,,,,,,,,,,,,,,[]
2022,13,,,,288,253,,409,161,179,,235,,,,,,,,,,,,,,,,,[]
2022,14,,,,290,308,,402,168,169,,248,,,,,,,,,,,,,,,,,[]
2022,15,,,,240,,,380,156,156,,243,,,,,,,,,,,,,,,,,[]
2022,16,,,,345,358,,267,178,158,,190,,,,,,,,,,,,,,,,,[]
2022,17,,,,376,361,,251,214,184,,191,,,,,,,,,,,,,,,,,[]
2022,18,,,,402,386,,96,172,232,,134,,,,,,,,,,,,,,,,,[]
2022,19,,,,403,418,,35,128,175,,92,,,,,,,,,,,,,,,,,[]
2022,20,,,,415,450,,41,158,146,,92,,,,,,,,,,,,,,,,,[]
2022,21,,,,413,498,,55,165,174,,107,,,,,,,,,,,,,,,,,[]
